id,Headline,Link,Author,Dates
0,"Framework’s computers aren’t perfect, but they are exciting",https://www.theverge.com//23664746/framework-laptop-excitement-vpr-matrix-history-nostalgia,Dan Seifert,Two hours ago
1,Super73 launches Adventure Series and first e-bike for danger babies,https://www.theverge.com//2023/4/2/23662863/super73-adventure-e-bikes-k1d-kids-price-specs,Thomas Ricker,12:08 PM GMT+5:30
2,The Home Assistant SkyConnect is a great excuse to demolish your smart home and start from scratch,https://www.theverge.com//23641940/home-assistant-skyconnect-thread-matter-zigbee-smart-home,Chris Person,An hour ago
3,April Fools’ Day 2023: the best and cringiest pranks,https://www.theverge.com//2023/4/1/23665955/april-fools-day-2023-pranks-jokes-best-worst,Richard Lawler,5:40 AM GMT+5:30
4,How to change the region on an HP OfficeJet printer in 57 easy steps (printer companies hate this!),https://www.theverge.com//23648726/hp-officejet-printer-region-how-to-change-why,Nathan Edwards,Apr 1
5,"When healthcare is decided by algorithms, who wins?",https://www.theverge.com//23664533/medicare-advantage-healthcare-algorithm,Barbara Krasnoff,Apr 1
6,Super73 launches Adventure Series and first e-bike for danger babies,https://www.theverge.com//2023/4/2/23662863/super73-adventure-e-bikes-k1d-kids-price-specs,Thomas Ricker,12:08 PM GMT+5:30
7,The Home Assistant SkyConnect is a great excuse to demolish your smart home and start from scratch,https://www.theverge.com//23641940/home-assistant-skyconnect-thread-matter-zigbee-smart-home,Chris Person,An hour ago
8,April Fools’ Day 2023: the best and cringiest pranks,https://www.theverge.com//2023/4/1/23665955/april-fools-day-2023-pranks-jokes-best-worst,Richard Lawler,5:40 AM GMT+5:30
9,How to change the region on an HP OfficeJet printer in 57 easy steps (printer companies hate this!),https://www.theverge.com//23648726/hp-officejet-printer-region-how-to-change-why,Nathan Edwards,Apr 1
10,"When healthcare is decided by algorithms, who wins?",https://www.theverge.com//23664533/medicare-advantage-healthcare-algorithm,Barbara Krasnoff,Apr 1
11,Why can’t more music apps be like Apple Music Classical?,https://www.theverge.com//2023/4/2/23659934/apple-music-classical-metadata-is-good,Alex Cranz,9 minutes ago
12,The newest iPad Mini and Google’s Pixel 6A top our favorite deals of the week,https://www.theverge.com//good-deals/2023/4/1/23665082/google-pixel-6a-sony-wf-1000xm4-earbuds-amazon-echo-ipad-mini-deal-sale,Antonio G. Di Benedetto,Apr 1
